full_name,age,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Adrian Mariappa,33,Premier League,2018/2019,Defender,Watford,1921,841,1080,Jamaica,26,8,12,0,0,0,0,0,0,0,0,6,3,3,29,10,19,3,0,0,0,0,0,0,0,1.36,66,74,640,0,0.14,396,340,93,21
Adam Masina,25,Premier League,2018/2019,Defender,Watford,1003,463,540,Italy,14,5,6,0,0,0,1,1,0,0,0,2,1,1,19,8,11,5,0,0.09,0.09,0,0,0,0,1.7,53,72,201,1003,0.45,397,164,141,20
Mathew Ryan,27,Premier League,2018/2019,Goalkeeper,Brighton & Hove Albion,3060,1530,1530,Australia,34,17,17,0,0,0,0,0,0,0,0,6,4,2,52,25,27,2,0,0,0,0,0,0,0,1.53,59,90,1530,0,0.06,398,351,122,15
Bruno Saltor Grau,39,Premier League,2018/2019,Defender,Brighton & Hove Albion,1136,534,602,Spain,14,6,8,0,0,0,1,1,0,0,0,4,2,2,17,8,9,2,0,0.08,0.08,0,0,0,0,1.35,67,81,568,1136,0.16,399,168,91,19
Shane Duffy,27,Premier League,2018/2019,Defender,Brighton & Hove Albion,3088,1558,1530,Republic of Ireland,35,18,17,5,2,3,1,1,0,0,0,7,5,2,51,23,28,5,1,0.17,0.03,0.15,0.12,0.18,618,1.49,61,88,515,3088,0.17,121,250,115,2
Lewis Dunk,28,Premier League,2018/2019,Defender,Brighton & Hove Albion,3153,1550,1603,England,36,18,18,2,0,2,1,0,1,0,0,7,5,2,53,24,29,7,1,0.09,0.03,0.06,0,0.11,1577,1.51,59,88,450,3153,0.2,204,251,120,5
Bernardo,24,Premier League,2018/2019,Defender,Brighton & Hove Albion,1750,990,760,Brazil,22,11,8,0,0,0,1,1,0,0,0,4,2,2,28,17,11,4,0,0.05,0.05,0,0,0,0,1.44,63,80,438,1750,0.21,400,209,108,20
Dale Stephens,30,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,2487,1191,1296,England,30,14,15,1,0,1,1,0,1,0,0,5,3,2,43,18,25,7,1,0.07,0.04,0.04,0,0.07,2487,1.56,58,83,311,2487,0.29,234,234,-1,9
Pascal Groß,28,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,1878,993,885,Germany,25,13,11,3,2,1,3,1,2,1,1,3,2,1,31,16,15,1,0,0.29,0.14,0.14,0.18,0.1,626,1.49,61,75,1878,626,0.05,126,103,-1,4
Davy Pröpper,28,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,2551,1371,1180,Netherlands,30,16,14,1,0,1,1,0,1,0,0,5,4,1,44,19,25,2,0,0.07,0.04,0.04,0,0.08,2551,1.55,58,85,1276,2551,0.07,235,232,-1,10
Anthony Knockaert,28,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,1832,982,850,France,30,10,8,2,1,1,6,5,1,0,0,3,3,0,36,17,19,5,1,0.39,0.29,0.1,0.09,0.11,916,1.77,51,61,305,305,0.29,166,26,-1,6
Solomon March,25,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,2473,1153,1320,England,35,13,17,1,1,0,5,1,4,0,0,6,4,2,39,13,26,1,0,0.22,0.18,0.04,0.08,0,2473,1.42,63,71,2473,495,0.04,246,76,-1,11
Glenn Murray,36,Premier League,2018/2019,Forward,Brighton & Hove Albion,2514,1384,1130,England,38,17,13,13,8,5,1,1,0,4,0,7,5,2,44,22,22,5,0,0.5,0.04,0.47,0.52,0.4,193,1.58,57,66,503,2514,0.18,21,229,-1,1
Gaëtan Bong Songo,31,Premier League,2018/2019,Defender,Brighton & Hove Albion,1805,720,1085,Cameroon,22,8,11,0,0,0,0,0,0,0,0,5,3,2,32,9,23,0,0,0,0,0,0,0,0,1.6,56,82,0,0,0,401,368,131,18
Yves Bissouma,23,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,1769,747,1022,Mali,28,7,10,0,0,0,0,0,0,0,0,5,4,1,30,14,16,5,0,0,0,0,0,0,0,1.53,59,63,354,0,0.25,402,367,-1,17
Alireza Jahanbakhsh,26,Premier League,2018/2019,Forward,Brighton & Hove Albion,1022,494,528,Iran,19,6,6,0,0,0,0,0,0,0,0,4,3,1,16,8,8,2,0,0,0,0,0,0,0,1.41,64,54,511,0,0.18,403,365,-1,16
Beram Kayal,31,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,933,494,439,Israel,18,5,4,1,0,1,1,1,0,0,0,5,3,2,14,8,6,4,0,0.19,0.1,0.1,0,0.21,933,1.35,67,52,233,933,0.39,164,152,-1,8
Jürgen Locadia,26,Premier League,2018/2019,Forward,Brighton & Hove Albion,1227,590,637,Netherlands,26,6,6,2,2,0,0,0,0,0,0,4,3,1,19,9,10,1,0,0.15,0,0.15,0.31,0,614,1.39,65,47,1227,0,0.07,118,360,-1,7
Leon Balogun,31,Premier League,2018/2019,Defender,Brighton & Hove Albion,591,309,282,Nigeria,8,2,3,1,1,0,0,0,0,0,0,0,0,0,9,5,4,2,0,0.15,0,0.15,0.29,0,591,1.37,66,74,296,0,0.3,117,358,96,12
David Button,30,Premier League,2018/2019,Goalkeeper,Brighton & Hove Albion,360,180,180,England,4,2,2,0,0,0,0,0,0,0,0,1,1,0,5,1,4,0,0,0,0,0,0,0,0,1.25,72,90,0,0,0,404,357,80,14
Rui Pedro dos Santos Patrício,31,Premier League,2018/2019,Goalkeeper,Wolverhampton Wanderers,3330,1620,1710,Portugal,37,18,19,0,0,0,0,0,0,0,0,8,6,2,43,20,23,0,0,0,0,0,0,0,0,1.16,77,90,0,0,0,405,356,56,19
Ryan Bennett,29,Premier League,2018/2019,Defender,Wolverhampton Wanderers,3060,1710,1350,England,34,19,15,1,1,0,0,0,0,0,0,9,7,2,36,20,16,12,0,0.03,0,0.03,0.05,0,3060,1.06,85,90,255,0,0.35,256,355,40,11
Willy Boly,28,Premier League,2018/2019,Defender,Wolverhampton Wanderers,3169,1530,1639,France,36,17,19,4,2,2,0,0,0,0,0,8,6,2,38,17,21,3,1,0.11,0,0.11,0.12,0.11,792,1.08,83,88,792,0,0.11,152,354,41,3
Matt Doherty,27,Premier League,2018/2019,Defender,Wolverhampton Wanderers,3147,1557,1590,Republic of Ireland,38,17,18,4,1,3,5,4,1,0,0,9,7,2,38,18,20,5,0,0.26,0.14,0.11,0.06,0.17,787,1.09,83,83,629,629,0.14,153,105,46,4
Conor Coady,26,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,3420,1710,1710,England,38,19,19,0,0,0,0,0,0,0,0,9,7,2,43,20,23,5,0,0,0,0,0,0,0,1.13,80,90,684,0,0.13,394,328,-1,18
Jonny,25,Premier League,2018/2019,Defender,Wolverhampton Wanderers,2780,1269,1511,Spain,33,15,17,1,1,0,1,1,0,0,0,8,6,2,36,16,20,6,0,0.06,0.03,0.03,0.07,0,2780,1.17,77,84,463,2780,0.19,257,238,60,13
João Moutinho,33,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,3040,1532,1508,Portugal,38,18,17,1,0,1,8,5,3,0,0,9,7,2,37,17,20,4,0,0.27,0.24,0.03,0,0.06,3040,1.1,82,80,760,380,0.12,258,43,-1,12
Rúben Diogo Da Silva Neves,22,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,3009,1451,1558,Portugal,35,16,18,4,3,1,3,2,1,2,0,8,6,2,40,19,21,8,0,0.21,0.09,0.12,0.19,0.06,752,1.2,75,86,376,1003,0.24,146,154,-1,5
Diogo José Teixeira da Silva,23,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,2371,1210,1161,Portugal,33,15,14,9,7,2,5,3,2,0,0,9,7,2,29,11,18,11,0,0.53,0.19,0.34,0.52,0.16,263,1.1,82,72,216,474,0.42,51,71,-1,2
Hélder Wander Sousa Azevedo Costa,25,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,1345,657,688,Portugal,25,8,8,1,0,1,2,1,1,0,0,5,3,2,18,10,8,3,0,0.2,0.13,0.07,0,0.13,1345,1.2,75,54,448,673,0.2,196,115,-1,10
Raúl Alonso Jiménez Rodríguez,28,Premier League,2018/2019,Forward,Wolverhampton Wanderers,3125,1648,1477,Mexico,38,19,17,13,8,5,7,4,3,2,0,9,7,2,39,20,19,4,0,0.58,0.2,0.37,0.44,0.3,240,1.12,80,82,781,446,0.12,43,66,-1,1
Leonardo Bonatini Lohner Maia,25,Premier League,2018/2019,Forward,Wolverhampton Wanderers,128,61,67,Brazil,7,0,0,0,0,0,1,0,1,0,0,3,2,1,0,0,0,0,0,0.7,0.7,0,0,0,0,0,0,18,0,128,0,-1,-1,-1,14
Rúben Gonçalo Silva Nascimento Vinagre,20,Premier League,2018/2019,Defender,Wolverhampton Wanderers,703,514,189,Portugal,17,5,2,0,0,0,0,0,0,0,0,5,4,1,9,6,3,1,0,0,0,0,0,0,0,1.15,78,41,703,0,0.13,406,359,52,15
Morgan Gibbs-White,19,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,647,426,221,England,26,4,1,0,0,0,1,1,0,0,0,5,5,0,9,5,4,1,0,0.14,0.14,0,0,0,0,1.25,72,25,647,647,0.14,408,107,-1,16
Bright Enobakhare,21,Premier League,2018/2019,Forward,Wolverhampton Wanderers,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
John Ruddy,33,Premier League,2018/2019,Goalkeeper,Wolverhampton Wanderers,90,90,0,England,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,-1,-1,-1,17
Romain Saïss,29,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,1144,544,600,Morocco,19,6,6,2,1,1,0,0,0,0,0,4,3,1,16,6,10,7,0,0.16,0,0.16,0.17,0.15,572,1.26,72,60,163,0,0.55,116,361,-1,8
Kortney Hause,24,Premier League,2018/2019,Defender,Wolverhampton Wanderers,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Jordan Pickford,25,Premier League,2018/2019,Goalkeeper,Everton,3420,1710,1710,England,38,19,19,0,0,0,0,0,0,0,0,14,9,5,44,20,24,1,0,0,0,0,0,0,0,1.16,78,90,3420,0,0.03,409,353,57,14
Phil Jagielka,37,Premier League,2018/2019,Defender,Everton,329,95,234,England,7,1,3,1,1,0,0,0,0,0,0,5,3,2,2,0,2,1,1,0.27,0,0.27,0.95,0,329,0.55,165,47,165,0,0.55,70,362,9,13
Leighton Baines,34,Premier League,2018/2019,Defender,Everton,376,141,235,England,6,2,3,0,0,0,0,0,0,0,0,1,0,1,6,2,4,0,0,0,0,0,0,0,0,1.44,63,63,0,0,0,410,364,107,21
Séamus Coleman,31,Premier League,2018/2019,Defender,Everton,2560,1333,1227,Republic of Ireland,29,15,14,2,2,0,2,0,2,0,0,13,8,5,29,15,14,1,0,0.14,0.07,0.07,0.14,0,1280,1.02,88,88,2560,1280,0.04,192,182,37,8
Michael Keane,26,Premier League,2018/2019,Defender,Everton,2970,1350,1620,England,33,15,18,1,0,1,2,1,1,0,0,13,8,5,37,15,22,2,0,0.09,0.06,0.03,0,0.06,2970,1.12,80,90,1485,1485,0.06,251,195,47,10
Morgan Schneiderlin,30,Premier League,2018/2019,Midfielder,Everton,833,473,360,France,14,6,4,0,0,0,1,1,0,0,0,7,5,2,9,5,4,2,0,0.11,0.11,0,0,0,0,0.97,93,60,417,833,0.22,412,134,-1,20
Gylfi Sigurdsson,30,Premier League,2018/2019,Midfielder,Everton,3134,1602,1532,Iceland,38,18,18,13,7,6,6,2,4,2,3,14,9,5,40,19,21,3,0,0.55,0.17,0.37,0.39,0.35,241,1.15,78,82,1045,522,0.09,41,86,-1,2
Idrissa Gana Gueye,30,Premier League,2018/2019,Midfielder,Everton,2825,1407,1418,Senegal,33,16,16,0,0,0,2,1,1,0,0,13,9,4,29,10,19,6,0,0.06,0.06,0,0,0,0,0.92,97,86,471,1413,0.19,413,190,-1,19
Theo Walcott,30,Premier League,2018/2019,Forward,Everton,2122,1114,1008,England,37,13,11,5,3,2,2,2,0,0,0,13,9,4,33,18,15,1,0,0.3,0.08,0.21,0.24,0.18,424,1.4,64,57,2122,1061,0.04,90,169,-1,4
Cenk Tosun,28,Premier League,2018/2019,Forward,Everton,1050,536,514,Turkey,25,5,5,3,2,1,3,1,2,0,0,7,4,3,16,9,7,3,0,0.51,0.26,0.26,0.34,0.18,350,1.37,66,42,350,350,0.26,75,38,-1,6
Richarlison de Andrade,22,Premier League,2018/2019,Forward,Everton,2679,1283,1396,Brazil,35,15,17,13,7,6,1,1,0,0,0,14,9,5,32,15,17,6,1,0.47,0.03,0.44,0.49,0.39,206,1.08,84,77,383,2679,0.24,28,252,-1,1
Mason Holgate,23,Premier League,2018/2019,Defender,Everton,407,270,137,England,5,3,1,0,0,0,0,0,0,0,0,0,0,0,9,5,4,1,0,0,0,0,0,0,0,1.99,45,81,407,0,0.22,414,369,161,16
Oumar Niasse,29,Premier League,2018/2019,Forward,Cardiff City,998,435,563,Senegal,18,5,7,0,0,0,0,0,0,0,0,3,2,1,12,5,7,0,0,0,0,0,0,0,0,1.08,83,55,0,0,0,415,370,-1,13
Lucas Digne,26,Premier League,2018/2019,Defender,Everton,2990,1511,1479,France,35,17,16,4,2,2,4,2,2,0,0,14,9,5,36,16,20,6,1,0.24,0.12,0.12,0.12,0.12,748,1.08,83,85,427,748,0.21,142,128,43,5
Sandro Ramirez,24,Premier League,2018/2019,Forward,Everton,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Maarten Stekelenburg,37,Premier League,2018/2019,Goalkeeper,Everton,0,0,0,Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Tom Davies,21,Premier League,2018/2019,Midfielder,Everton,975,520,455,England,16,5,5,0,0,0,0,0,0,0,0,5,3,2,18,12,6,3,0,0,0,0,0,0,0,1.66,54,61,325,0,0.28,416,371,-1,18
Dominic Calvert-Lewin,22,Premier League,2018/2019,Forward,Everton,1774,1023,751,England,35,11,8,6,3,3,2,2,0,0,0,13,8,5,24,12,12,3,0,0.41,0.1,0.3,0.26,0.36,296,1.22,74,51,591,887,0.15,64,149,-1,3
Alisson Becker,27,Premier League,2018/2019,Goalkeeper,Liverpool,3420,1710,1710,Brazil,38,19,19,0,0,0,0,0,0,0,0,21,12,9,19,8,11,1,0,0,0,0,0,0,0,0.5,180,90,3420,0,0.03,417,372,3,16
Virgil van Dijk,28,Premier League,2018/2019,Defender,Liverpool,3385,1675,1710,Netherlands,38,19,19,4,2,2,2,1,1,0,0,21,12,9,19,8,11,1,0,0.16,0.05,0.11,0.11,0.11,846,0.51,178,89,3385,1693,0.03,155,208,4,6
Andrew Robertson,25,Premier League,2018/2019,Defender,Liverpool,3219,1599,1620,Scotland,36,18,18,0,0,0,11,9,2,0,0,21,12,9,17,7,10,4,0,0.31,0.31,0,0,0,0,0.48,189,89,805,293,0.11,418,19,2,20
Joe Gomez,22,Premier League,2018/2019,Defender,Liverpool,1060,493,567,England,16,5,7,0,0,0,0,0,0,0,0,11,8,3,3,0,3,2,0,0,0,0,0,0,0,0.25,353,66,530,0,0.17,407,363,1,19
Trent Alexander-Arnold,21,Premier League,2018/2019,Defender,Liverpool,2467,1266,1201,England,29,14,13,1,0,1,12,8,4,0,0,16,11,5,14,4,10,3,0,0.47,0.44,0.04,0,0.07,2467,0.51,176,85,822,206,0.11,245,6,6,13
James Milner,33,Premier League,2018/2019,Midfielder,Liverpool,1785,646,1139,England,31,7,12,5,0,5,4,2,2,3,0,18,9,9,11,4,7,7,1,0.45,0.2,0.25,0,0.4,357,0.55,162,58,255,446,0.35,79,64,-1,5
Georginio Wijnaldum,29,Premier League,2018/2019,Midfielder,Liverpool,2735,1413,1322,Netherlands,35,17,15,3,1,2,0,0,0,0,0,21,12,9,15,6,9,3,0,0.1,0,0.1,0.06,0.14,912,0.49,182,78,912,0,0.1,158,350,-1,8
Naby Deco Keïta,24,Premier League,2018/2019,Midfielder,Liverpool,1392,729,663,Guinea,25,8,8,2,1,1,1,1,0,0,0,15,10,5,7,4,3,0,0,0.19,0.06,0.13,0.12,0.14,696,0.45,199,56,0,1392,0,132,194,-1,9
Roberto Firmino,28,Premier League,2018/2019,Forward,Liverpool,2620,1347,1273,Brazil,34,16,15,12,7,5,6,3,3,1,0,18,9,9,13,7,6,0,0,0.62,0.21,0.41,0.47,0.35,218,0.45,202,77,0,437,0,32,62,-1,3
Mohamed Salah,27,Premier League,2018/2019,Forward,Liverpool,3262,1692,1570,Egypt,38,19,18,22,13,9,8,5,3,3,0,21,12,9,18,8,10,1,0,0.83,0.22,0.61,0.69,0.52,148,0.5,181,86,3262,408,0.03,7,59,-1,2
Sadio Mané,27,Premier League,2018/2019,Forward,Liverpool,3086,1643,1443,Senegal,36,19,16,22,18,4,1,0,1,0,0,20,12,8,18,8,10,2,0,0.67,0.03,0.64,0.99,0.25,140,0.52,171,86,1543,3086,0.06,4,248,-1,1
Jordan Henderson,29,Premier League,2018/2019,Midfielder,Liverpool,1983,925,1058,England,32,9,12,1,0,1,3,2,1,0,0,19,10,9,11,4,7,3,1,0.18,0.14,0.05,0,0.09,1983,0.5,180,62,661,661,0.14,221,106,-1,14
Xherdan Shaqiri,28,Premier League,2018/2019,Midfielder,Liverpool,1058,538,520,Switzerland,24,6,5,6,5,1,3,0,3,0,0,12,7,5,5,3,2,2,0,0.77,0.26,0.51,0.84,0.17,176,0.43,212,44,529,353,0.17,15,36,-1,4
Daniel Sturridge,30,Premier League,2018/2019,Forward,Liverpool,496,152,344,England,18,1,3,2,1,1,1,1,0,0,0,10,7,3,3,0,3,1,0,0.54,0.18,0.36,0.59,0.26,248,0.54,165,28,496,496,0.18,48,79,-1,10
Loris Karius,26,Premier League,2018/2019,Goalkeeper,Liverpool,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Nathaniel Clyne,28,Premier League,2018/2019,Defender,AFC Bournemouth,1254,684,570,England,18,8,6,0,0,0,1,0,1,0,0,6,4,2,24,6,18,2,0,0.07,0.07,0,0,0,0,1.72,52,70,627,1254,0.14,392,184,147,22
Fabinho,26,Premier League,2018/2019,Midfielder,Liverpool,2013,1051,962,Brazil,28,11,10,1,1,0,2,1,1,0,0,15,7,8,13,6,7,6,0,0.13,0.09,0.04,0.09,0,2013,0.58,155,72,336,1007,0.27,228,160,-1,15
Adam David Lallana,31,Premier League,2018/2019,Midfielder,Liverpool,465,189,276,England,13,2,3,0,0,0,0,0,0,0,0,6,1,5,2,1,1,1,0,0,0,0,0,0,0,0.39,233,36,465,0,0.19,379,337,-1,18
Łukasz Fabiański,34,Premier League,2018/2019,Goalkeeper,West Ham United,3420,1710,1710,Poland,38,19,19,0,0,0,0,0,0,0,0,7,4,3,48,23,25,0,0,0,0,0,0,0,0,1.26,71,90,0,0,0,391,338,81,19
Angelo Ogbonna,31,Premier League,2018/2019,Defender,West Ham United,1870,956,914,Italy,24,10,10,1,1,0,1,1,0,0,0,3,2,1,32,13,19,2,0,0.1,0.05,0.05,0.09,0,1870,1.54,58,78,935,1870,0.1,217,202,124,13
Arthur Masuaku,26,Premier League,2018/2019,Defender,West Ham United,1700,766,934,France,22,9,10,0,0,0,1,1,0,0,0,5,2,3,26,11,15,2,0,0.05,0.05,0,0,0,0,1.38,65,77,850,1700,0.11,368,201,97,25
Ryan Fredericks,27,Premier League,2018/2019,Midfielder,West Ham United,1085,404,681,England,15,4,8,1,1,0,0,0,0,0,0,3,2,1,13,1,12,5,0,0.08,0,0.08,0.22,0,1085,1.08,83,72,217,0,0.41,190,330,-1,11
Fabián Cornelio Balbuena González,28,Premier League,2018/2019,Defender,West Ham United,2014,934,1080,Paraguay,23,11,12,1,0,1,0,0,0,0,0,5,2,3,27,13,14,2,0,0.04,0,0.04,0,0.08,2014,1.21,75,88,1007,0,0.09,227,339,67,10
Mark Noble,32,Premier League,2018/2019,Midfielder,West Ham United,2308,1147,1161,England,31,14,15,5,2,3,5,4,1,4,0,7,4,3,29,12,17,7,1,0.39,0.19,0.19,0.16,0.23,462,1.13,80,74,289,462,0.31,101,68,-1,5
Jack Wilshere,27,Premier League,2018/2019,Midfielder,West Ham United,389,181,208,England,8,2,2,0,0,0,1,0,1,0,0,2,1,1,8,2,6,2,0,0.23,0.23,0,0,0,0,1.85,49,49,195,389,0.46,369,47,-1,24
Michail Antonio,29,Premier League,2018/2019,Midfielder,West Ham United,2099,998,1101,England,33,11,11,6,4,2,4,2,2,0,0,5,3,2,26,10,16,3,0,0.43,0.17,0.26,0.36,0.16,350,1.11,81,64,700,525,0.13,76,85,-1,4
Felipe Anderson Pereira Gomes,26,Premier League,2018/2019,Midfielder,West Ham United,3054,1439,1615,Brazil,36,17,19,9,4,5,4,2,2,0,0,6,3,3,43,21,22,3,0,0.38,0.12,0.27,0.25,0.28,339,1.27,71,85,1018,764,0.09,71,126,-1,2
Declan Rice,20,Premier League,2018/2019,Midfielder,West Ham United,3005,1440,1565,Republic of Ireland,34,16,18,2,2,0,0,0,0,0,0,6,3,3,42,21,21,4,0,0.06,0,0.06,0.13,0,1503,1.26,72,88,751,0,0.12,215,344,-1,9
Marko Arnautović,30,Premier League,2018/2019,Forward,West Ham United,2000,1083,917,Austria,28,13,11,10,7,3,4,1,3,1,0,5,3,2,31,17,14,3,0,0.63,0.18,0.45,0.58,0.29,200,1.4,65,71,667,500,0.14,26,83,-1,1
Robert Snodgrass,32,Premier League,2018/2019,Midfielder,West Ham United,2222,1108,1114,Scotland,33,13,12,2,1,1,5,4,1,0,0,6,3,3,31,16,15,10,0,0.28,0.2,0.08,0.08,0.08,1111,1.26,72,67,222,444,0.41,182,65,-1,8
Javier Hernandez,31,Premier League,2018/2019,Forward,West Ham United,1335,694,641,Mexico,25,7,7,7,5,2,1,0,1,0,0,3,1,2,16,8,8,2,0,0.54,0.07,0.47,0.65,0.28,191,1.08,83,53,668,1335,0.13,23,189,-1,3
Andriy Yarmolenko,30,Premier League,2018/2019,Forward,West Ham United,459,269,190,Ukraine,9,3,2,2,0,2,0,0,0,0,0,1,1,0,4,1,3,2,0,0.39,0,0.39,0,0.95,230,0.78,115,51,230,0,0.39,36,347,-1,7
Pablo Zabaleta,34,Premier League,2018/2019,Defender,West Ham United,2092,1216,876,Argentina,26,14,9,0,0,0,1,1,0,0,0,4,2,2,32,22,10,4,0,0.04,0.04,0,0,0,0,1.38,65,80,523,2092,0.17,370,216,99,23
Adrián San Miguel del Castillo,32,Premier League,2018/2019,Goalkeeper,West Ham United,0,0,0,Spain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Pedro Obiang,27,Premier League,2018/2019,Midfielder,West Ham United,1121,609,512,Equatorial Guinea,24,7,5,0,0,0,1,0,1,0,0,7,4,3,17,9,8,0,0,0.08,0.08,0,0,0,0,1.36,66,47,0,1121,0,371,173,-1,22
