full_name,age,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Joe Powell,21,Premier League,2018/2019,Forward,West Ham United,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Conor Coventry,19,Premier League,2018/2019,Midfielder,West Ham United,0,0,0,Republic of Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Robbie Brady,27,Premier League,2018/2019,Midfielder,Burnley,715,390,325,Republic of Ireland,16,4,2,0,0,0,1,0,1,0,0,2,1,1,12,8,4,4,1,0.13,0.13,0,0,0,0,1.51,60,45,143,715,0.63,268,120,-1,13
Faustino Marcos Alberto Rojo,29,Premier League,2018/2019,Defender,Manchester United,211,211,0,Argentina,5,2,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,2,0,0,0,0,0,0,0,1.71,53,42,106,0,0.85,-1,-1,-1,21
Danny Simpson,32,Premier League,2018/2019,Defender,Leicester City,291,26,265,England,6,0,3,0,0,0,0,0,0,0,0,3,1,2,4,0,4,0,0,0,0,0,0,0,0,1.24,73,49,0,0,0,269,318,74,21
Fousseni Diabaté,24,Premier League,2018/2019,Midfielder,Leicester City,55,0,55,Mali,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.64,55,55,0,0,0,-1,-1,-1,22
Juan Marcos Foyth,21,Premier League,2018/2019,Defender,Tottenham Hotspur,930,450,480,Argentina,12,5,5,1,0,1,0,0,0,0,0,4,3,1,10,2,8,4,1,0.1,0,0.1,0,0.19,930,0.97,93,78,186,0,0.48,159,310,26,14
Michael Obafemi,19,Premier League,2018/2019,Forward,Southampton,134,64,70,Republic of Ireland,6,1,0,1,0,1,1,1,0,0,0,0,0,0,2,2,0,1,0,1.34,0.67,0.67,0,1.29,134,1.34,67,22,134,134,0.67,-1,-1,-1,16
Viktor Gyökeres,21,Premier League,2018/2019,Forward,Brighton & Hove Albion,0,0,0,Sweden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Marc Pugh,32,Premier League,2018/2019,Midfielder,AFC Bournemouth,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Edward Nketiah,20,Premier League,2018/2019,Forward,Arsenal,62,4,58,England,5,0,0,1,0,1,0,0,0,0,0,1,1,0,2,0,2,0,0,1.45,0,1.45,0,1.55,62,2.9,31,12,0,0,0,-1,-1,-1,14
Andy Carroll,30,Premier League,2018/2019,Forward,West Ham United,454,180,274,England,12,1,2,0,0,0,0,0,0,0,0,2,1,1,6,2,4,2,0,0,0,0,0,0,0,1.19,76,38,227,0,0.4,270,316,-1,17
Freddie Woodman,22,Premier League,2018/2019,Goalkeeper,Newcastle United,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Ryan Giles,19,Premier League,2018/2019,Midfielder,Wolverhampton Wanderers,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Jack Simpson,22,Premier League,2018/2019,Defender,AFC Bournemouth,403,240,163,England,6,2,2,0,0,0,0,0,0,0,0,2,1,1,9,2,7,0,0,0,0,0,0,0,0,2.01,45,67,0,0,0,272,312,163,18
Yann Valery,20,Premier League,2018/2019,Defender,Southampton,1715,1070,645,France,23,12,8,2,1,1,1,1,0,0,0,3,1,2,26,17,9,5,1,0.16,0.05,0.1,0.08,0.14,858,1.36,66,75,343,1715,0.26,163,207,95,7
José Diogo Dalot Teixeira,20,Premier League,2018/2019,Defender,Manchester United,1015,525,490,Portugal,16,6,6,0,0,0,2,2,0,0,0,2,0,2,18,8,10,3,0,0.18,0.18,0,0,0,0,1.6,56,63,338,508,0.27,283,73,132,17
Rafael Euclides Soares Camacho,19,Premier League,2018/2019,Midfielder,Liverpool,0,0,0,Portugal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Josh Knight,22,Premier League,2018/2019,Defender,Leicester City,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Laurent Koscielny,34,Premier League,2018/2019,Defender,Arsenal,1328,484,844,France,17,5,8,3,2,1,0,0,0,0,0,4,3,1,21,5,16,1,0,0.2,0,0.2,0.37,0.11,443,1.42,63,78,1328,0,0.07,94,265,104,7
Ben White,22,Premier League,2018/2019,Defender,Brighton & Hove Albion,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Emerson Palmieri dos Santos,25,Premier League,2018/2019,Defender,Chelsea,660,360,300,Italy,10,4,3,0,0,0,0,0,0,0,0,3,2,1,10,3,7,0,0,0,0,0,0,0,0,1.36,66,66,0,0,0,274,264,94,17
Hamza Choudhury,22,Premier League,2018/2019,Midfielder,Leicester City,596,308,288,England,9,4,3,0,0,0,0,0,0,0,0,4,2,2,4,3,1,0,0,0,0,0,0,0,0,0.6,149,66,0,0,0,275,263,-1,23
Georges-Kevin N'Koudou Mbida,24,Premier League,2018/2019,Forward,Tottenham Hotspur,4,0,4,France,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,22.5,22.5,0,0,0,0,0,0,4,0,4,0,-1,-1,-1,18
Julián Speroni,40,Premier League,2018/2019,Goalkeeper,Crystal Palace,90,0,90,Argentina,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,30,90,0,0,0,-1,-1,-1,15
Scott Dann,32,Premier League,2018/2019,Defender,Crystal Palace,660,360,300,England,10,4,3,0,0,0,1,0,1,0,0,3,2,1,7,4,3,1,0,0.14,0.14,0,0,0,0,0.95,94,66,660,660,0.14,276,101,24,14
Timothy Eyoma,19,Premier League,2018/2019,Defender,Tottenham Hotspur,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Tom Cleverley,30,Premier League,2018/2019,Midfielder,Watford,470,102,368,England,13,1,3,1,0,1,0,0,0,0,0,4,2,2,7,0,7,2,0,0.19,0,0.19,0,0.24,470,1.34,67,36,235,0,0.38,98,261,-1,11
Alexandre Nascimento Costa Silva,22,Premier League,2018/2019,Forward,West Ham United,17,0,17,Portugal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,-1,-1,-1,16
Tyreke Johnson,21,Premier League,2018/2019,Defender,Southampton,0,0,0,England,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Bakayo Sako,49,Premier League,2018/2019,Midfielder,Arsenal,7,7,0,England,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,-1,-1,-1,17
Ali Koiki,19,Premier League,2018/2019,Defender,Burnley,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Kayne Ramsey,19,Premier League,2018/2019,Midfielder,Southampton,90,90,0,England,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3,30,90,0,0,0,-1,-1,-1,19
Max Kilman,22,Premier League,2018/2019,Defender,Wolverhampton Wanderers,0,0,0,England,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Angel Gomes,19,Premier League,2018/2019,Midfielder,Manchester United,25,25,0,England,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3.6,25,13,0,0,0,-1,-1,-1,19
Joseph Willock,20,Premier League,2018/2019,Midfielder,Arsenal,64,0,64,England,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,-1,-1,-1,16
Callum Hudson-Odoi,19,Premier League,2018/2019,Midfielder,Chelsea,391,267,124,England,10,3,1,0,0,0,1,1,0,0,0,3,3,0,5,2,3,0,0,0.23,0.23,0,0,0,0,1.15,78,39,0,391,0,277,51,-1,16
Miguel Ángel Britos Cabrera,34,Premier League,2018/2019,Defender,Watford,185,13,172,Uruguay,3,0,2,0,0,0,0,0,0,0,0,1,1,0,5,0,5,0,0,0,0,0,0,0,0,2.43,37,62,0,0,0,-1,-1,-1,25
Ethan Ampadu,19,Premier League,2018/2019,Midfielder,Chelsea,0,0,0,Wales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Callum Slattery,20,Premier League,2018/2019,Midfielder,Southampton,110,6,104,England,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,-1,-1,-1,18
Samir Nasri,32,Premier League,2018/2019,Midfielder,West Ham United,246,102,144,France,5,1,2,0,0,0,2,2,0,0,0,1,1,0,2,1,1,0,0,0.73,0.73,0,0,0,0,0.73,123,49,0,123,0,-1,-1,-1,15
Florian Lejeune,28,Premier League,2018/2019,Defender,Newcastle United,1055,515,540,France,12,6,6,0,0,0,0,0,0,0,0,3,3,0,12,3,9,0,0,0,0,0,0,0,0,1.02,88,88,0,0,0,278,267,35,14
Max Harrison Sanders,20,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Rhys Healey,25,Premier League,2018/2019,Forward,Cardiff City,49,17,32,England,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1.84,49,16,0,0,0,-1,-1,-1,14
Harvey Lewis Barnes,22,Premier League,2018/2019,Midfielder,Leicester City,1007,601,406,England,16,6,5,1,0,1,2,2,0,0,0,3,3,0,16,7,9,0,0,0.27,0.18,0.09,0,0.22,1007,1.43,63,63,0,504,0,178,82,-1,10
Sam Gallagher,24,Premier League,2018/2019,Forward,Southampton,30,7,23,England,4,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,-1,-1,-1,17
Joshua Sims,22,Premier League,2018/2019,Midfielder,Southampton,209,139,70,England,7,1,1,0,0,0,1,1,0,0,0,1,0,1,5,3,2,0,0,0.43,0.43,0,0,0,0,2.15,42,30,0,209,0,-1,-1,-1,20
Joe Daniel Tupper,22,Premier League,2018/2019,Goalkeeper,Crystal Palace,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Callum Roberts,22,Premier League,2018/2019,Forward,Newcastle United,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Ryan Guno Babel,32,Premier League,2018/2019,Forward,Fulham,1260,668,592,Netherlands,16,8,7,5,3,2,3,3,0,0,0,3,2,1,24,12,12,3,0,0.57,0.21,0.36,0.4,0.3,252,1.71,53,79,420,420,0.21,46,61,-1,3
Kazaiah Sterling,21,Premier League,2018/2019,Forward,Tottenham Hotspur,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Carl Jenkinson,27,Premier League,2018/2019,Defender,Arsenal,166,166,0,England,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1.08,83,55,0,0,0,-1,-1,-1,18
Konstantinos Mavropanos,22,Premier League,2018/2019,Defender,Arsenal,150,46,104,Greece,4,1,2,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0.6,150,38,150,0,0.6,-1,-1,-1,19
Dan Burn,27,Premier League,2018/2019,Defender,Brighton & Hove Albion,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
James McCarthy,29,Premier League,2018/2019,Midfielder,Everton,14,14,0,Republic of Ireland,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,-1,-1,-1,22
Josh Benson,20,Premier League,2018/2019,Midfielder,Burnley,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Chris Mepham,22,Premier League,2018/2019,Defender,AFC Bournemouth,849,436,413,Wales,13,5,5,0,0,0,1,0,1,0,0,3,1,2,16,7,9,1,0,0.11,0.11,0,0,0,0,1.7,53,65,849,849,0.11,279,137,143,17
Dominic Solanke,22,Premier League,2018/2019,Forward,AFC Bournemouth,341,165,176,England,10,1,1,0,0,0,1,1,0,0,0,2,0,2,4,1,3,0,0,0.26,0.26,0,0,0,0,1.06,85,34,0,341,0,280,35,-1,16
Gonzalo Higuain,31,Premier League,2018/2019,Forward,Chelsea,1092,496,596,Argentina,14,6,7,5,4,1,0,0,0,0,0,5,4,1,15,3,12,0,0,0.41,0,0.41,0.73,0.15,218,1.24,73,78,0,0,0,31,279,-1,5
Antonio Barreca,24,Premier League,2018/2019,Defender,Newcastle United,4,0,4,Italy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,-1,-1,-1,16
Adalberto Peñaranda Maestre,22,Premier League,2018/2019,Forward,Watford,0,0,0,Venezuela,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Peter Crouch,38,Premier League,2018/2019,Forward,Burnley,86,56,30,England,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,14,86,0,1.05,-1,-1,-1,23
Alfie Jones,22,Premier League,2018/2019,Defender,Southampton,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Karlan Ahearne-Grant,21,Premier League,2018/2019,Forward,Huddersfield Town,874,331,543,England,13,3,6,3,1,2,0,0,0,0,0,1,1,0,22,7,15,0,0,0.31,0,0.31,0.27,0.33,291,2.27,40,67,0,0,0,61,269,-1,3
Michy Batshuayi,26,Premier League,2018/2019,Forward,Crystal Palace,756,368,388,Belgium,11,4,5,5,2,3,0,0,0,0,0,3,2,1,11,7,4,0,0,0.6,0,0.6,0.49,0.7,151,1.31,69,69,0,0,0,8,275,-1,4
Bakary Sako,31,Premier League,2018/2019,Midfielder,Crystal Palace,25,8,17,Mali,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,-1,-1,-1,23
Cameron John,20,Premier League,2018/2019,Defender,Wolverhampton Wanderers,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Leandro Bacuna,28,Premier League,2018/2019,Midfielder,Cardiff City,554,302,252,Curaçao,11,2,2,0,0,0,0,0,0,0,0,4,2,2,11,10,1,2,0,0,0,0,0,0,0,1.79,50,50,277,0,0.32,281,272,-1,25
Denis Suárez,25,Premier League,2018/2019,Midfielder,Arsenal,67,29,38,Spain,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,-1,-1,-1,28
Curtis Jones,18,Premier League,2018/2019,Midfielder,Liverpool,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Joel Coleman,24,Premier League,2018/2019,Goalkeeper,Huddersfield Town,90,0,90,England,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,16
Kyle Taylor,20,Premier League,2018/2019,Midfielder,AFC Bournemouth,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Sam Surridge,21,Premier League,2018/2019,Forward,AFC Bournemouth,11,0,11,England,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,-1,-1,-1,15
Youri Tielemans,22,Premier League,2018/2019,Midfielder,Leicester City,1092,575,517,Belgium,13,7,6,3,2,1,4,2,2,0,0,3,3,0,13,5,8,2,0,0.58,0.33,0.25,0.31,0.17,364,1.07,84,84,546,273,0.16,82,13,-1,4
Miguel Ángel Almirón Rejala,25,Premier League,2018/2019,Midfielder,Newcastle United,763,405,358,Paraguay,10,5,4,0,0,0,0,0,0,0,0,3,2,1,10,4,6,0,0,0,0,0,0,0,0,1.18,76,76,0,0,0,282,270,-1,24
Manuel Lanzini,26,Premier League,2018/2019,Midfielder,West Ham United,688,367,321,Argentina,10,4,4,1,0,1,1,0,1,0,0,2,2,0,11,5,6,2,0,0.26,0.13,0.13,0,0.28,688,1.44,63,69,344,688,0.26,138,117,-1,12
Håvard Nordtveit,29,Premier League,2018/2019,Midfielder,Fulham,361,90,271,Norway,5,1,3,0,0,0,1,0,1,0,0,1,0,1,9,2,7,0,0,0.25,0.25,0,0,0,0,2.24,40,72,0,361,0,419,41,-1,15
Lazar Marković,25,Premier League,2018/2019,Midfielder,Fulham,44,0,44,Serbia,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,-1,-1,-1,16
Demeaco Duhaney,21,Premier League,2018/2019,Defender,Huddersfield Town,46,46,0,England,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,-1,-1,-1,17
James Garner,18,Premier League,2018/2019,Defender,Manchester United,0,0,0,England,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Tahith Chong,20,Premier League,2018/2019,Forward,Manchester United,36,0,36,Netherlands,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2.5,36,18,0,0,0,-1,-1,-1,20
Philippe Sandler,22,Premier League,2018/2019,Defender,Manchester City,0,0,0,Netherlands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Benjamin Johnson,19,Premier League,2018/2019,Forward,West Ham United,63,0,63,England,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.43,63,63,0,0,0,-1,-1,-1,26
Matty Daly,18,Premier League,2018/2019,Midfielder,Huddersfield Town,73,49,24,England,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.23,73,37,0,0,0,-1,-1,-1,18
Will Norris,26,Premier League,2018/2019,Goalkeeper,Wolverhampton Wanderers,0,0,0,England,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Aaron Rowe,19,Premier League,2018/2019,Forward,Huddersfield Town,69,14,55,England,2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.3,69,35,0,0,0,-1,-1,-1,31
Mason Greenwood,18,Premier League,2018/2019,Midfielder,Manchester United,115,105,10,England,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1.57,58,38,0,0,0,-1,-1,-1,27
Sam Woods,21,Premier League,2018/2019,Defender,Crystal Palace,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
George Marsh,21,Premier League,2018/2019,Midfielder,Tottenham Hotspur,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Harvey Elliot,49,Premier League,2018/2019,Forward,Fulham,18,16,2,England,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,-1,-1,-1,28
Nathan Holland,21,Premier League,2018/2019,Midfielder,West Ham United,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Vincent Janssen,25,Premier League,2018/2019,Forward,Tottenham Hotspur,36,36,0,Netherlands,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,-1,-1,-1,28
Emerson Hyndman,23,Premier League,2018/2019,Midfielder,AFC Bournemouth,37,0,37,USA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,4.86,19,37,0,0,0,-1,-1,-1,14
Nnamdi Ofoborh,20,Premier League,2018/2019,Midfielder,AFC Bournemouth,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Fraser Forster,31,Premier League,2018/2019,Goalkeeper,Southampton,90,0,90,England,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,30,90,0,0,0,-1,-1,-1,29
Alex Oxlade-Chamberlain,26,Premier League,2018/2019,Midfielder,Liverpool,19,19,0,England,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,-1,-1,-1,21
Anthony Driscoll-Glennon,20,Premier League,2018/2019,Defender,Burnley,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Mark Travers,20,Premier League,2018/2019,Goalkeeper,AFC Bournemouth,180,90,90,Republic of Ireland,2,1,1,0,0,0,0,0,0,0,0,1,1,0,5,0,5,0,0,0,0,0,0,0,0,2.5,36,90,0,0,0,-1,-1,-1,28
Jayson Molumby,20,Premier League,2018/2019,Midfielder,Brighton & Hove Albion,0,0,0,Republic of Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Luke Dreher,21,Premier League,2018/2019,Midfielder,Crystal Palace,0,0,0,England,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Nikola Tavares,20,Premier League,2018/2019,Defender,Crystal Palace,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Matt Butcher,22,Premier League,2018/2019,Midfielder,AFC Bournemouth,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Luca de la Torre,21,Premier League,2018/2019,Midfielder,Fulham,0,0,0,USA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Lewis Cass,19,Premier League,2018/2019,Defender,Newcastle United,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Kelland Watts,20,Premier League,2018/2019,Midfielder,Newcastle United,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Marc Guehi,19,Premier League,2018/2019,Defender,Chelsea,0,0,0,England,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
